oil,gold,copper
Saudi Aramco leads Riyadh’s $30bn investment push into South Korea,Petropavlovsk war of words over proposed board shake-up continues,BHP Billiton to push ahead with demerger strategy
US diesel and heating oil stocks scrape lows before winter,Peter Hambro criticises new Petropavlovsk CEO,Copper slumps on Chinese demand concern
Russia supply shock forces rethink for chemicals and fertiliser groups,Gold miner ‘Pog the Dog’ drives some investors barking mad,Contenders for Rio Tinto’s chief executive role
Nigeria: energy boom has yet to benefit the economy Premium content,Private equity group makes $230m bid for gold miner,Miners: the hole truth
COP27: India draws support for wider climate target than coal alone,London’s gold market demands green credentials for producers,Kazakhmys copper mining group details plans to split up company
UK energy windfall taxes: removing the welcome mat to global money Premium content,Petropavlovsk investor warns against move to oust board,MMG shareholders approve $5.85bn purchase of Las Bambas project
IEA warns surging diesel prices risk worsening European energy crisis,Gold rises as Italy’s political turmoil perks up safe assets,Copper on the rebound as sentiment shifts
COP27: The loss and damage debate is intensifying Premium content,Russian gold producer Polyus suffers aftershocks of US sanctions,Copper confounds bears with strong gains
Germany’s gas problem maybe isn’t such a big problem any more,Gold as an unsafe haven,Codelco ousts chief executive after strategy clash
Oil and gas group Pantheon falls on reports of Muddy Waters bet,Barrick buys 20% stake in group developing Idaho gold mine,Metals financing concerns rise in China
Oil and gas group Energean calls for east Mediterranean investment boom,Investors attempt board overhaul as tussle over Petropavlovsk escalates,Newmont halts Indonesia mining operations
BP shakes up offshore wind unit with hiring spree,Investors grab gold ETFs but ditch mining shares ,Copper retreats on China financing fears
Fossil fuel producers flex their muscle at UN climate summit ,Turkey’s booming inflation and sinking currency boost gold demand,Chile’s president aims to soothe investors over reforms
Saudi Arabia emboldened at COP27 as energy demand ‘exposes hypocrisies’,Barrick Gold earnings helped by higher gold prices,Amber Capital forces out Nexans CEO Frédéric Vincent
Joe Biden’s energy agenda survives the midterm vote Premium content,Senegal communities weigh impact of growth in gold mining,Copper miners grapple with arsenic problem
Centrica launches £250mn buyback as energy prices drive up profit,"Gold, Treasuries unloved as investors get their risk appetites back",China concerns spark metals fall
Brookfield and EIG bid $12bn for Australia’s Origin Energy,Gold hits highest since January amid Syria concerns,Copper miners look past present pain to future gain
German chemicals giant stockpiles coal to keep producing,US wage growth picks up even as job growth slows,Codelco chief says miner at “inflection point”
UK struggles to secure long-term gas import deals,"Gold, oil lower while dollar rebounds",Copper output surge adds to price pressure
Russia becomes India’s top oil supplier as sanctions deflate price,Gold briefly hits five week high after Goldman turns bullish,Rio Tinto donates Alaska copper mine stake to charities
The energy crisis crashes the climate conference   Premium content,Gold at its highest in over a month on haven buying,Falling prices put pressure on high-cost copper miners
European crisis risks climate action reputation,As good as (ethical) gold,Rio Tinto faces further setbacks at Oyu Tolgoi
US faces challenges in bid to hit Paris goals,US stocks end lower after Fed raises rates,Copper rebounds from recent sell-off
US and EU argue over claims of gas crisis profiteering,Barrick Gold’s restructuring comes at a cost,Antofagasta: red cents
Ithaca: oil and gas explorer is making big promises from little Britain Premium content,Newcrest shares slide after dam breach forces mine closure,Antofagasta to pay big dividend despite lower earnings
Oil companies hit out at UK’s ‘fiscally unstable’ regime,Gold eyes biggest one-day gain since Valentine’s Day,Copper miners eye increase in output
Aviation calls on UK government to subsidise ‘Jet Zero’ push,Rate jitters sink gold to two-week low,Copper price plunge tied to China credit unwind
‘Shalennial’ US gas salesman wants to kill global coal,Gold sags while dollar gains ground,Copper: Cu on the other side
Green air travel: high fuel prices to provide some lift  Premium content,European stocks fall for first day in four,Copper flashes red
Serbia ‘in a hurry’ to ease energy dependence on Russia,Markets charts that matter,Copper hit as China banks cut import financing
Maersk warns oil groups are holding back clean energy transition,Weakening dollar behind gold and yen’s rise,Copper futures fall by daily limit
US oil producers reap $200bn windfall from Ukraine war price surge,"Oil, gold climb as dollar holds near three-year low",China fears trigger dramatic drop in copper
G7 says Russian oil price cap to be ready ‘in the coming weeks’,Higher bond yields fail to arrest an ever-weakening dollar,Resource risk: red meridian
"Windfall taxes: good politics, tricky policy","Top jewellery brands failing to ensure gold, diamonds mined ethically, Human Rights Watch says",Glencore Xstrata poised to take stake in oil group Russneft
Lukoil rejects US buyout group’s offer for Sicily refinery,Global gold mine supply plateaued in 2017 as China output fell 9%,Worth watching Aussie and copper gyrations
Germany risks breaking gas funds pledge made at UN climate summit,"Forget bitcoin, give me old-fashioned gold as an inflation hedge",Self-help digs miners BHP and Rio Tinto out of a hole
LNG tankers idle off Europe’s coast as traders wait for gas price rise,Acacia buys $2m in options to hedge against falls in gold price,BHP Billiton backs iron ore surplus forecast
UK to ban ship insurance cover for Russian oil ahead of G7 price cap,“Abenomics” as the new gold standard?,China notches up record imports of key commodities
Glencore ordered to pay £276mn for Africa oil bribery,Commodity prices boosted by tumbling dollar,Glencore Xstrata’s copper output increases 25%
IEA sounds ‘alarm bell’ on Europe’s 2023 gas supplies,Gold heats up yet seen staying rangebound,Glencore Xstrata seeks exit from Philippines copper project
UK oil and gas producer Harbour Energy warns on windfall tax risk,Gold miners shine while Asia stocks follow Wall Street lower,Copper miners: out of the red
How the US midterms will impact the energy sector  Premium content,Australian gold producers glow after dollar dips,China sensitive assets in thrall to PMI
US oil majors hold down spending despite White House threats,Gold on track for highest close since 2016 on dollar weakness,Antofagasta hits record copper output
TotalEnergies challenged on carbon emissions reporting,"Investors Chronicle: Merck, Pearson, GKN",Nickel: laterite hook
Petrobras: fears of price fixing look overdone Premium content,"Australian gold producers jump to 1-year high as price gains, dollar falls",Surging Dr Copper leaves traders confused
"Glencore flew bribe cash across Africa in private jets, court told",Gold at 4 month high as US dollar edges lower,Miners in 2014: If you’re in a hole . . .
The energy crisis gives the US a chance to woo big European companies,Bull market in bling,Copper climbs to seven-month high
Bumper profits raise pressure on oil majors,Gold hits 4-month high on report of China trimming Treasuries buying,"Chilean companies face change, not revolution"
BP and Shell’s divergent tax bills highlight UK windfall flaws,Gold producers drop as spot price pulls back from 3-month high,Copper theft leaves Londoners without broadband service
"Russian oil exports will fall despite growing ‘dark fleet’, Vitol chief says",Gold: bling-o Premium content,Standard Bank consultant detained in Mongolia
BP: having a good war — but losing battles for hearts and minds Premium content,Gold extends decline after Fed minutes,Kazakhmys sells $1.3bn power station stake
Opec head: ‘Mixed messages’ are holding back energy investment Premium content,Gold rallies to highest level in more than 3 months,Dr Copper vs equities: contradicting economic forecasts
BP to buy back more shares after profit doubles to $8bn,"Gold tiptoes higher, on track for longest winning streak ever",Copper at 3-month low on Fed stimulus fears
"Japan cannot survive without Russian oil, warns trading house chief",What to watch in metals market in 2018,Copper is poised for a break out
Biden claims oil companies are ‘war profiteering’ as he floats windfall tax,Mining shares rise as prices improve on global growth indicators,Copper: dead red
Is Europe winning the gas war with Russia?,Gold miners bounce after Fed rate hike,Breakthrough in Mongolian copper border snag
Sunak examines U-turn on revenue cap for low carbon electricity generators,Russian miner Polyus turns tech into gold,Copper disruptions hit decade low
Exxon/Chevron: energy stocks still have gas left in the tank Premium content,Will the shift out of tech into financials last?,Rio Tinto plays the long game in Mongolia over Oyu Tolgoi mine
Equinor and Eni report bumper profits,"US dollar, Treasury yields steady after jobs report",Supply of copper set to outstrip demand
Centrica reopens UK’s biggest gas storage site,Gold miners hit one-month low as investors shrug off global risks,Warehousing to new supply – it’s LME week
Exxon profit triples to record $20bn amid furore over high petrol prices,Gold slides as tax reform inches forward,Minmetals bids for Glencore Xstrata’s Las Bambas copper project
Renewables: Big Oil is missing the opportunity high profits create Premium content,Gold producers slide after price touches two-month low,Newmont looks at Glencore Peru project for copper diversification
Shell ready to ‘embrace’ higher taxes as third-quarter profits double,Gold regains a little ground after slumping to 2-month low,Demand surges for copper in China
What to watch for in this quarter’s Big Oil earnings Premium content,Cautious trade follows fresh China stocks sell-off,Tin in overbought territory as metals surge
IEA forecasts fossil fuel demand will peak this decade ,Naguib Sawiris to launch new gold investment vehicle,Copper bounds higher as bearishness retreats
US exports record oil volumes as fuel price tensions build,Dollar weakness lifts gold prices to 6-week high,Rio Tinto sells Northparkes mine stake for $820m
West Texas gas price falls below zero as pipeline outages trap supply,Gold miner with plans to dig in N Ireland secures £45m injection,China PMI will be key for the red metal
Saudi Arabia willing to pump more oil if global energy crisis worsens,Egyptian billionaire Naguib Sawiris to launch new gold investment vehicle,Investors flee from commodities at record pace
Are Europe’s falling gas prices here to stay? Premium content,"Miners outperform in Sydney as gold, iron rise",Glencore Xstrata sinks to record low
Colombia’s tax chief defends reform plan targeting oil and coal ,Glint app brings gold into the digital age,Copper hits three-year low
Europe has reached a critical moment in tackling energy shortages,How Germany got its gold back,Gold in biggest reverse in nearly two years
US bankers head to ‘Davos in the desert’ despite Saudi tensions,Gold is the new cocaine for money launderers,Aluminium leads falls across metals
"De facto UK windfall tax on green energy is ‘catastrophic’, sector warns",Tough quarter for gold as demand slides to 8-year low,Copper bulls seize on scrap shortage
US wields crude stockpile as weapon in global oil price battle,Gold and Treasuries in demand amid geopolitical uncertainties,"Is copper at $7,000 a bargain for China?"
ScottishPower calls for private sector fund to subsidise energy bills,Gold’s small miners prove a poor proxy for its price,Copper boosted by Indonesian mine closure
Ovo Energy was on regulator’s watchlist for nationalisation,"Miners gain in Sydney as gold, oil prices rise",Oil and copper tumble on weak China data
